decade,neuron_x,neuron_y,cluster_id
2000,-2,0,4
2000,-2,2,3
2000,-2,3,3
2000,-2,4,3
2000,-2,5,6
2000,-2,6,6
2000,-2,7,6
2000,-1,-4,11
2000,-1,-3,11
2000,-1,-2,11
2000,-1,-1,12
2000,-1,2,3
2000,-1,3,5
2000,-1,4,5
2000,-1,5,5
2000,-1,6,6
2000,-1,7,6
2000,-1,8,6
2000,0,-3,12
2000,0,-2,12
2000,0,-1,12
2000,0,0,12
2000,0,1,12
2000,0,2,5
2000,0,3,5
2000,0,5,5
2000,0,6,6
2000,0,7,6
2000,1,-4,12
2000,1,-3,12
2000,1,-2,12
2000,1,-1,12
2000,1,0,12
2000,1,1,13
2000,1,2,5
2000,1,3,5
2000,1,4,5
2000,1,5,5
2000,1,6,5
2000,1,7,6
2000,1,8,6
2000,2,-5,7
2000,2,-4,12
2000,2,-3,12
2000,2,-2,13
2000,2,-1,13
2000,2,0,13
2000,2,1,13
2000,2,2,5
2000,2,3,5
2000,2,4,5
2000,2,5,5
2000,2,6,5
2000,3,-6,7
2000,3,-5,7
2000,3,-4,12
2000,3,-3,13
2000,3,-2,13
2000,3,-1,13
2000,3,0,13
2000,3,1,13
2000,3,2,13
2000,3,3,13
2000,3,4,5
2000,3,5,14
2000,3,6,14
2000,4,-5,8
2000,4,-4,8
2000,4,-3,13
2000,4,-2,13
2000,4,-1,13
2000,4,0,13
2000,4,1,9
2000,4,2,13
2000,4,3,13
2000,4,4,13
2000,4,5,14
2000,4,6,14
2000,4,7,14
2000,5,-4,8
2000,5,-3,8
2000,5,-2,13
2000,5,-1,9
2000,5,0,9
2000,5,1,9
2000,5,2,9
2000,5,4,13
2000,5,5,14
2000,5,6,14
2000,5,7,14
2000,5,8,14
2000,6,-4,8
2000,6,-3,8
2000,6,-1,9
2000,6,0,9
2000,6,1,9
2000,6,2,9
2000,6,3,9
2000,6,4,13
2000,6,5,14
2000,6,6,14
2000,6,7,15
2000,7,-2,9
2000,7,-1,9
2000,7,0,9
2000,7,1,9
2000,7,2,9
2000,7,3,9
2000,7,4,9
2000,7,5,15
2000,7,6,15
2000,8,-1,10
2000,8,0,9
2000,8,2,9
2000,8,3,9
2000,8,4,15
2000,8,5,15
2000,9,2,9
2000,9,3,9
2000,9,4,15
2010,-5,1,4
2010,-4,-1,7
2010,-4,1,4
2010,-4,3,4
2010,-4,5,3
2010,-3,-3,7
2010,-3,-1,7
2010,-3,0,7
2010,-3,1,4
2010,-3,2,4
2010,-3,3,4
2010,-3,4,3
2010,-3,5,3
2010,-3,6,3
2010,-3,7,6
2010,-2,-3,7
2010,-2,-2,7
2010,-2,-1,13
2010,-2,0,13
2010,-2,1,4
2010,-2,2,4
2010,-2,6,5
2010,-2,7,5
2010,-1,-4,7
2010,-1,-2,7
2010,-1,-1,13
2010,-1,0,13
2010,-1,1,13
2010,-1,2,4
2010,-1,6,5
2010,-1,7,5
2010,-1,8,5
2010,0,-2,13
2010,0,-1,13
2010,0,0,13
2010,0,1,13
2010,0,2,13
2010,0,6,5
2010,0,7,5
2010,1,-4,8
2010,1,-3,8
2010,1,-2,13
2010,1,0,13
2010,1,1,13
2010,1,2,13
2010,1,3,13
2010,1,6,13
2010,1,7,13
2010,1,8,5
2010,2,-5,9
2010,2,-4,8
2010,2,-3,8
2010,2,-2,11
2010,2,-1,11
2010,2,0,13
2010,2,1,13
2010,2,2,13
2010,2,6,13
2010,2,7,13
2010,2,8,13
2010,3,-6,9
2010,3,-5,9
2010,3,-3,11
2010,3,-2,11
2010,3,-1,11
2010,3,0,11
2010,3,1,13
2010,3,2,13
2010,3,3,11
2010,3,6,13
2010,3,7,12
2010,4,-5,1
2010,4,-4,1
2010,4,-3,1
2010,4,-1,1
2010,4,0,11
2010,4,1,11
2010,4,3,11
2010,4,4,11
2010,4,6,13
2010,4,7,12
2010,4,8,12
2010,5,-4,1
2010,5,-3,1
2010,5,-2,1
2010,5,-1,2
2010,5,0,2
2010,5,1,2
2010,5,2,11
2010,5,3,11
2010,5,4,11
2010,5,5,12
2010,5,7,12
2010,5,8,12
2010,6,-4,1
2010,6,-3,1
2010,6,-2,2
2010,6,-1,2
2010,6,0,2
2010,6,1,2
2010,6,2,2
2010,6,3,2
2010,6,4,11
2010,6,6,12
2010,6,7,12
2010,7,-2,2
2010,7,-1,2
2010,7,1,2
2010,7,2,2
2010,7,3,2
2010,7,4,2
2010,7,6,12
2010,8,0,2
2010,8,2,2
2010,8,3,2
2010,8,4,10
2010,8,5,10
2010,9,2,2
2010,9,3,2
2010,9,4,10
2020,-5,1,2
2020,-4,-1,6
2020,-4,1,2
2020,-4,3,2
2020,-4,5,3
2020,-3,-1,6
2020,-3,0,6
2020,-3,2,2
2020,-3,3,2
2020,-3,4,2
2020,-3,6,3
2020,-3,7,4
2020,-2,-2,6
2020,-2,-1,6
2020,-2,0,6
2020,-2,1,5
2020,-2,2,2
2020,-2,7,5
2020,-1,-4,6
2020,-1,-2,6
2020,-1,0,6
2020,-1,1,5
2020,-1,2,5
2020,-1,8,5
2020,0,0,5
2020,0,1,5
2020,0,2,5
2020,0,6,5
2020,0,7,5
2020,1,-3,7
2020,1,0,5
2020,1,1,5
2020,1,2,5
2020,1,3,5
2020,1,7,5
2020,1,8,5
2020,2,-4,7
2020,2,-3,7
2020,2,-2,7
2020,2,-1,7
2020,2,0,5
2020,2,2,5
2020,2,7,5
2020,2,8,5
2020,3,-6,7
2020,3,-3,7
2020,3,0,1
2020,3,7,5
2020,4,-5,7
2020,4,-4,7
2020,4,-1,1
2020,4,0,1
2020,4,1,1
2020,4,3,7
2020,4,4,7
2020,4,8,5
2020,5,-3,1
2020,5,-2,1
2020,5,-1,1
2020,5,0,1
2020,5,2,1
2020,5,5,7
2020,5,8,5
2020,6,-4,1
2020,6,-3,1
2020,6,-2,1
2020,6,-1,1
2020,6,0,1
2020,6,3,1
2020,7,-2,1
2020,7,1,1
2020,7,2,1
2020,7,4,1
2020,7,6,1
2020,8,5,1
2020,9,2,1
2020,9,3,1
2020,9,4,1
