snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
1998,5,5,3,12,1.0563,1
1998,-1,4,8,12,1.0563,0
1998,6,-2,2,12,1.0563,1
1998,7,2,3,12,1.0563,1
1998,4,7,11,12,1.0563,1
1998,2,1,12,12,1.0563,1
1998,-3,-1,4,12,1.0563,0
1998,1,-1,10,12,1.0563,1
1998,-4,7,5,12,1.0563,1
1998,2,2,12,12,1.0563,1
1998,2,-3,6,12,1.0563,1
1998,-3,0,4,12,1.0563,1
1998,1,-4,7,12,1.0563,1
1998,1,0,10,12,1.0563,1
1998,3,-1,9,12,1.0563,1
1998,4,-2,9,12,1.0563,1
1998,-2,6,5,12,1.0563,1
1998,0,1,12,12,1.0563,0
1998,-1,1,8,12,1.0563,0
1998,3,-4,6,12,1.0563,1
1998,3,0,9,12,1.0563,1
1998,0,8,8,12,1.0563,1
1998,-2,7,8,12,1.0563,1
1998,-3,3,5,12,1.0563,0
1998,4,5,3,12,1.0563,0
1998,0,2,12,12,1.0563,0
1998,0,-3,7,12,1.0563,0
1998,-3,4,5,12,1.0563,1
1998,1,3,12,12,1.0563,1
1998,-1,2,5,12,1.0563,0
1998,-1,-3,10,12,1.0563,0
1998,1,4,12,12,1.0563,1
1998,-4,5,5,12,1.0563,1
1998,2,6,8,12,1.0563,1
1998,5,-1,2,12,1.0563,0
1998,3,3,3,12,1.0563,0
1998,3,4,12,12,1.0563,1
1998,2,7,11,12,1.0563,1
1998,-2,-2,4,12,1.0563,1
1998,5,0,3,12,1.0563,0
1998,6,-1,2,12,1.0563,1
1998,0,-5,7,12,1.0563,1
1998,0,6,8,12,1.0563,1
1998,-2,5,5,12,1.0563,0
1998,-1,6,8,12,1.0563,1
1998,-3,1,5,12,1.0563,0
1998,6,0,3,12,1.0563,0
1998,1,1,12,12,1.0563,1
1998,2,-2,10,12,1.0563,0
1998,0,7,8,12,1.0563,1
1998,5,3,3,12,1.0563,1
1998,-1,7,8,12,1.0563,1
1998,5,4,3,12,1.0563,1
1998,-3,2,5,12,1.0563,0
1998,1,8,8,12,1.0563,0
1998,1,2,12,12,1.0563,1
1998,3,1,12,12,1.0563,0
1998,1,-3,6,12,1.0563,0
1998,2,5,12,12,1.0563,1
1998,4,-1,2,12,1.0563,0
1998,-4,-1,4,12,1.0563,0
1998,4,-4,6,12,1.0563,1
1998,3,2,12,12,1.0563,1
1998,4,0,2,12,1.0563,1
1998,0,-2,10,12,1.0563,0
1998,3,-3,6,12,1.0563,0
1998,-1,-2,10,12,1.0563,1
1998,0,5,12,12,1.0563,0
1998,-3,6,5,12,1.0563,0
1998,-1,5,8,12,1.0563,1
1998,1,-5,7,12,1.0563,1
1998,5,1,3,12,1.0563,1
1998,1,6,8,12,1.0563,1
1998,4,3,3,12,1.0563,1
1998,4,4,3,12,1.0563,1
1998,-2,-1,10,12,1.0563,0
1998,-3,7,5,12,1.0563,1
1998,5,2,3,12,1.0563,1
1998,1,7,8,12,1.0563,1
1998,5,-3,2,12,1.0563,1
1998,3,6,11,12,1.0563,1
1998,6,1,3,12,1.0563,1
1998,-4,3,5,12,1.0563,0
1998,-2,0,4,12,1.0563,0
1998,7,0,2,12,1.0563,0
1998,3,7,11,12,1.0563,1
1998,6,2,3,12,1.0563,1
1998,2,-1,9,12,1.0563,1
1998,1,-2,10,12,1.0563,0
1998,-2,3,5,12,1.0563,0
1998,2,0,10,12,1.0563,1
1998,2,-4,7,12,1.0563,1
1998,-2,4,5,12,1.0563,1
1998,4,1,3,12,1.0563,1
1998,-3,5,5,12,1.0563,1
1998,5,6,11,12,1.0563,0
1998,0,9,8,12,1.0563,1
1998,1,5,12,12,1.0563,1
1998,3,-2,9,12,1.0563,0
1998,-4,1,5,12,1.0563,0
1998,0,-1,10,12,1.0563,0
1998,4,2,3,12,1.0563,0
1998,4,-3,2,12,1.0563,0
1998,5,7,1,12,1.0563,1
1998,-1,-1,10,12,1.0563,0
