lambda_,max_neurons,n_iter,window_size,step_size,n_neurons,n_samples,db_1990,db_2000,db_2010,db_2020,mean_db,min_db,max_db,time_seconds
1.0,100,150,5,2,100,2475,0.43748541130215035,0.791450292405969,0.8378688998445972,,0.6889348678509055,0.43748541130215035,0.8378688998445972,3.8
1.0,100,200,3,1,100,5280,0.7616502034942669,0.7242676802841149,0.734165730450019,0.6255653146663592,0.71141223222369,0.6255653146663592,0.7616502034942669,6.9
1.0,100,200,3,2,100,2640,0.7320866879584953,0.8386956291651804,0.7894839546492362,0.6560733584374432,0.7540849075525888,0.6560733584374432,0.8386956291651804,3.6
1.0,100,200,5,1,100,4950,0.7938035854775297,0.9937668318051526,0.775959901137799,,0.8545101061401604,0.775959901137799,0.9937668318051526,11.7
1.0,100,200,5,2,100,2475,0.4533680357674836,0.4887756418564445,0.7456242690378442,,0.562589315553924,0.4533680357674836,0.7456242690378442,5.2
1.0,100,250,3,1,100,5280,0.5052288025482963,0.8520514524778136,0.8239866067892727,0.66513999208576,0.7116017134752857,0.5052288025482963,0.8520514524778136,8.5
1.0,100,250,3,2,100,2640,0.8023025722332512,0.8466139371758514,0.8138325902001053,0.6018104493172879,0.766139887231624,0.6018104493172879,0.8466139371758514,4.4
1.0,100,250,5,1,100,4950,0.7253864091738038,0.5676942288622088,0.8504857711817557,,0.7145221364059228,0.5676942288622088,0.8504857711817557,13.2
1.0,100,250,5,2,100,2475,0.4671224092119687,0.6694520427286557,0.7717377904960523,,0.6361040808122256,0.4671224092119687,0.7717377904960523,6.5
1.0,100,300,3,1,100,5280,0.5024685092886317,0.6919111157257827,0.7119874602888714,0.6015465712641633,0.6269784141418623,0.5024685092886317,0.7119874602888714,10.2
1.0,100,300,3,2,100,2640,0.8028116536564651,0.8361937141786894,0.8260877693393834,0.5937762091673527,0.7647173365854727,0.5937762091673527,0.8361937141786894,5.3
1.0,100,300,5,1,100,4950,0.8993152150927696,0.8018210747067019,0.8629138034823877,,0.8546833644272863,0.8018210747067019,0.8993152150927696,15.6
1.0,100,300,5,2,100,2475,0.46712806316080696,0.8251257846234269,0.606165727225083,,0.6328065250031055,0.46712806316080696,0.8251257846234269,7.5
1.0,120,150,3,1,120,5280,0.8422013750668953,0.8560376251363114,0.8308007791295783,0.6095723047439265,0.7846530210191779,0.6095723047439265,0.8560376251363114,6.1
1.0,120,150,3,2,120,2640,0.39603539164486334,0.9792027419744769,0.9688902160187852,0.7103338306564578,0.7636155450736458,0.39603539164486334,0.9792027419744769,3.1
1.0,120,150,5,1,120,4950,0.47125594687277994,0.851159266747292,0.8154867531506848,,0.7126339889235855,0.47125594687277994,0.851159266747292,9.8
1.0,120,150,5,2,120,2475,0.49330633067500745,0.8249443213287373,0.844827000114113,,0.7210258840392859,0.49330633067500745,0.844827000114113,4.8
1.0,120,200,3,1,120,5280,0.880637842776461,0.8971154031228291,0.8313544388111677,0.6897535412286211,0.8247153064847697,0.6897535412286211,0.8971154031228291,8.4
1.0,120,200,3,2,120,2640,0.40933321969798886,0.5970615147321493,0.751319436933524,0.61859298594194,0.5940767893264006,0.40933321969798886,0.751319436933524,4.1
1.0,120,200,5,1,120,4950,0.8797583100998297,0.8851102689958233,0.843877470812974,,0.869582016636209,0.843877470812974,0.8851102689958233,12.4
1.0,120,200,5,2,119,2475,0.850268971557668,0.8586395809848629,0.7955317147941485,,0.8348134224455599,0.7955317147941485,0.8586395809848629,5.9
1.0,120,250,3,1,120,5280,0.8660784958954846,0.9336061637204318,0.8898469625608423,0.673158546563112,0.8406725421849677,0.673158546563112,0.9336061637204318,10.2
1.0,120,250,3,2,120,2640,0.7241749556333943,0.8446846657362089,0.8449465775238414,0.6040722158794971,0.7544696036932355,0.6040722158794971,0.8449465775238414,5.2
1.0,120,250,5,1,120,4950,0.81663107611337,0.8824096385254644,0.8799823047434396,,0.8596743397940912,0.81663107611337,0.8824096385254644,15.7
1.0,120,250,5,2,120,2475,0.4333686653993938,0.8423019265728304,0.8057882873712298,,0.693819626447818,0.4333686653993938,0.8423019265728304,7.8
1.0,120,300,3,1,120,5280,0.832918162476455,0.9287024336547246,0.8531312767445454,0.6841514415585817,0.8247258286085767,0.6841514415585817,0.9287024336547246,12.7
1.0,120,300,3,2,120,2640,0.924787049762099,0.9049836399870338,0.8070719903337612,0.5964233806642789,0.8083165151867933,0.5964233806642789,0.924787049762099,6.4
1.0,120,300,5,1,120,4950,0.8369582644910896,0.8276224797086201,0.7740447118761996,,0.8128751520253031,0.7740447118761996,0.8369582644910896,18.3
1.0,120,300,5,2,120,2475,0.8264319186811829,0.9299819350662747,0.7968010173291433,,0.8510716236922002,0.7968010173291433,0.9299819350662747,9.2
1.0,150,150,3,1,150,5280,0.8900033947144179,0.9137384789520534,0.8662684900886367,0.6851024907116774,0.8387782136166964,0.6851024907116774,0.9137384789520534,7.8
1.0,150,150,3,2,150,2640,0.8783231224099285,0.94427177775185,0.8512246358611435,0.5980282954026623,0.8179619578563961,0.5980282954026623,0.94427177775185,4.1
1.0,150,150,5,1,150,4950,0.4143334535896271,0.929132078735657,0.8307110290745274,,0.7247255204666038,0.4143334535896271,0.929132078735657,11.4
1.0,150,150,5,2,149,2475,0.8669062111265767,0.9281570145500485,0.8541414610243374,,0.883068228900321,0.8541414610243374,0.9281570145500485,5.9
1.0,150,200,3,1,150,5280,0.8542649821708267,0.8218716184642526,0.8168658519201525,0.658718411352695,0.7879302159769817,0.658718411352695,0.8542649821708267,10.5
1.0,150,200,3,2,150,2640,0.7841807742278932,0.8604075877641062,0.8837651770767233,0.6388111989668267,0.7917911845088873,0.6388111989668267,0.8837651770767233,5.4
1.0,150,200,5,1,150,4950,0.7712603193566677,0.9217416802510014,0.8314467214180421,,0.8414829070085705,0.7712603193566677,0.9217416802510014,15.5
1.0,150,200,5,2,150,2475,0.8653160253407636,0.8508811170962067,0.8619875769314436,,0.859394906456138,0.8508811170962067,0.8653160253407636,7.6
